case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
55,15,39,2,2,1900000055,1,0,0,2700,3,47,98,48,8410,0
56,16,0,3,0,1900000056,0,1,0,1749,1,0,56,29,6140,0
56,16,0,3,0,1900000056,1,1,0,1650,1,0,11,25,5880,0
57,17,1,4,1,1900000057,0,2,0,763,1,0,39,14,2600,0
57,17,1,4,1,1900000057,1,2,0,1568,1,0,90,26,5140,0
58,18,2,5,2,1900000058,0,3,0,619,1,0,28,13,2290,0
58,18,2,5,2,1900000058,1,3,1,362,1,14,0,7,1390,0
59,19,3,0,0,1900000059,0,0,1,541,1,85,0,12,2100,0
59,19,3,0,0,1900000059,1,0,1,822,1,13,0,17,2950,0
60,20,4,1,1,1900000060,0,1,1,1481,1,66,0,24,5220,0
60,20,4,1,1,1900000060,1,1,0,1118,1,0,123,20,4150,0
61,21,5,2,2,1900000061,0,2,0,2700,3,42,32,49,8500,0
61,21,5,2,2,1900000061,1,2,0,2462,1,0,68,45,7840,0
62,22,6,3,0,1900000062,0,3,0,922,2,143,131,14,3520,0
62,22,6,3,0,1900000062,1,3,0,1446,1,0,53,22,5300,0
63,23,7,4,1,1900000063,0,0,0,1169,1,0,40,22,3940,0
63,23,7,4,1,1900000063,1,0,1,1084,1,17,0,21,3730,0
64,24,8,5,2,1900000064,0,1,0,1183,1,0,53,20,3720,0
64,24,8,5,2,1900000064,1,1,0,1293,1,0,36,22,4040,0
65,25,9,0,0,1900000065,0,2,0,2461,1,0,76,44,7820,0
65,25,9,0,0,1900000065,1,2,0,2700,3,58,61,49,8470,0
66,26,10,1,1,1900000066,0,3,0,1104,1,0,88,21,3750,0
66,26,10,1,1,1900000066,1,3,0,861,1,0,108,17,3130,0
67,27,11,2,2,1900000067,0,0,0,2700,3,13,49,48,8430,0
67,27,11,2,2,1900000067,1,0,0,2700,3,133,117,49,8500,0
68,28,12,3,0,1900000068,0,1,1,670,1,21,0,12,2420,0
68,28,12,3,0,1900000068,1,1,1,545,1,39,0,11,2210,0
69,29,13,4,1,1900000069,0,2,0,1058,1,0,61,19,3800,0
69,29,13,4,1,1900000069,1,2,0,917,1,0,42,16,3440,0
70,30,14,5,2,1900000070,0,3,0,2446,1,0,3,56,6080,0
70,30,14,5,2,1900000070,1,3,0,2277,2,125,113,56,6000,0
71,31,15,0,0,1900000071,0,0,0,1124,1,0,10,22,3690,0
71,31,15,0,0,1900000071,1,0,0,1920,1,0,4,35,6110,0
72,32,16,1,1,1900000072,0,1,0,1556,1,0,18,26,5300,0
72,32,16,1,1,1900000072,1,1,0,772,1,0,58,14,2830,0
73,33,17,2,2,1900000073,0,2,0,2087,1,0,37,40,6490,0
73,33,17,2,2,1900000073,1,2,0,1657,1,0,12,33,5290,0
74,34,18,3,0,1900000074,0,3,0,547,1,0,48,11,2000,0
74,34,18,3,0,1900000074,1,3,0,682,1,0,85,14,2410,0
75,35,19,4,1,1900000075,0,0,0,1073,1,0,104,21,3460,0
75,35,19,4,1,1900000075,1,0,0,629,1,0,132,15,2260,0
76,36,20,5,2,1900000076,0,1,1,1733,1,24,0,29,5470,0
76,36,20,5,2,1900000076,1,1,0,780,1,0,102,12,2280,0
77,37,21,0,0,1900000077,0,2,0,2700,3,60,88,48,8630,0
77,37,21,0,0,1900000077,1,2,0,2518,1,0,54,43,7940,0
78,38,22,1,1,1900000078,0,3,1,740,1,104,0,15,2670,0
78,38,22,1,1,1900000078,1,3,1,816,1,26,0,17,3010,0
79,39,23,2,2,1900000079,0,0,0,2422,1,0,73,41,8080,0
79,39,23,2,2,1900000079,1,0,0,1651,1,0,105,30,5640,0
80,0,31,4,1,1900000080,0,2,1,756,1,72,0,15,2740,0
80,0,31,4,1,1900000080,1,2,0,850,1,0,118,17,2950,0
81,1,32,5,2,1900000081,0,3,0,931,2,136,121,15,2580,0
81,1,32,5,2,1900000081,1,3,0,1708,1,0,121,21,3660,0
82,2,33,0,0,1900000082,0,0,0,240,1,0,52,6,1350,0
82,2,33,0,0,1900000082,1,0,0,896,1,0,35,17,3350,0
83,3,34,1,1,1900000083,0,1,0,802,1,0,56,17,2950,0
83,3,34,1,1,1900000083,1,1,0,592,1,0,96,13,2300,0
84,4,35,2,2,1900000084,0,2,0,2651,2,2,82,52,9140,0
84,4,35,2,2,1900000084,1,2,0,2086,1,0,22,42,7270,0
85,5,36,3,0,1900000085,0,3,1,1423,1,56,0,26,4560,0
85,5,36,3,0,1900000085,1,3,1,2239,1,50,0,39,7080,0
86,6,37,4,1,1900000086,0,0,0,1217,1,0,110,22,4060,0
86,6,37,4,1,1900000086,1,0,0,1469,1,0,70,27,4800,0
87,7,38,5,2,1900000087,0,1,0,532,1,0,94,12,1740,0
87,7,38,5,2,1900000087,1,1,0,728,1,0,44,16,2390,0
88,8,39,0,0,1900000088,0,2,0,2700,3,35,92,44,8810,0
88,8,39,0,0,1900000088,1,2,0,2700,3,101,84,44,8830,0
89,9,0,1,1,1900000089,0,3,0,1507,1,0,68,25,4950,0
89,9,0,1,1,1900000089,1,3,0,900,1,0,95,16,3160,0
90,10,1,2,2,1900000090,0,0,1,1489,1,80,0,28,4990,0
90,10,1,2,2,1900000090,1,0,1,1092,1,113,0,21,3930,0
91,11,2,3,0,1900000091,0,1,0,627,1,0,58,12,2440,0
91,11,2,3,0,1900000091,1,1,0,1457,1,0,23,24,5120,0
92,12,3,4,1,1900000092,0,2,0,2423,1,0,10,42,7940,0
92,12,3,4,1,1900000092,1,2,1,1543,1,75,0,28,5220,0
93,13,4,5,2,1900000093,0,3,0,1213,1,0,112,19,3650,0
93,13,4,5,2,1900000093,1,3,0,1470,1,0,69,24,4570,0
94,14,5,0,0,1900000094,0,0,1,2700,3,108,141,49,8040,0
94,14,5,0,0,1900000094,1,0,1,2700,3,95,107,50,7760,0
95,15,6,1,1,1900000095,0,1,0,1966,1,0,119,35,6310,0
95,15,6,1,1,1900000095,1,1,0,1805,1,0,107,33,5850,0
96,16,7,2,2,1900000096,0,2,1,1034,1,75,0,18,3960,0
96,16,7,2,2,1900000096,1,2,1,1268,1,33,0,22,4650,0
97,17,8,3,0,1900000097,0,3,0,1886,1,0,4,30,5880,0
97,17,8,3,0,1900000097,1,3,0,2638,1,0,116,42,8480,0
98,18,9,4,1,1900000098,0,0,0,1295,1,0,97,24,3740,0
98,18,9,4,1,1900000098,1,0,0,2203,1,0,83,36,5300,0
99,19,10,5,2,1900000099,0,1,0,715,1,0,118,12,2200,0
99,19,10,5,2,1900000099,1,1,0,733,1,0,118,13,2410,0
100,20,11,0,0,1900000100,0,2,1,1690,1,44,0,25,5490,0
100,20,11,0,0,1900000100,1,2,1,1981,1,84,0,32,7090,0
101,21,12,1,1,1900000101,0,3,0,613,1,0,96,13,2360,0
101,21,12,1,1,1900000101,1,3,0,897,1,0,45,19,3130,0
102,22,13,2,2,1900000102,0,0,1,801,1,88,0,14,3430,0
102,22,13,2,2,1900000102,1,0,1,1592,1,16,0,25,6170,0
103,23,14,3,0,1900000103,0,1,0,984,1,0,3,19,3220,0
103,23,14,3,0,1900000103,1,1,0,1701,1,0,53,31,5440,0
104,24,15,4,1,1900000104,0,2,1,1432,1,45,0,25,4760,0
104,24,15,4,1,1900000104,1,2,0,1579,1,0,63,28,5040,0
105,25,16,5,2,1900000105,0,3,0,650,1,0,52,11,1930,0
105,25,16,5,2,1900000105,1,3,0,883,1,0,83,15,2360,0
106,26,17,0,0,1900000106,0,0,1,2338,1,86,0,43,7400,0
106,26,17,0,0,1900000106,1,0,0,2106,1,0,32,39,6670,0
107,27,18,1,1,1900000107,0,1,0,692,1,0,61,14,2580,0
107,27,18,1,1,1900000107,1,1,0,641,1,0,61,13,2470,0
108,28,19,2,2,1900000108,0,2,1,1567,1,64,0,26,5380,0
108,28,19,2,2,1900000108,1,2,0,836,1,0,54,14,2890,0
109,29,20,3,0,1900000109,0,3,0,2168,1,0,90,35,7000,0
109,29,20,3,0,1900000109,1,3,0,1166,1,0,75,21,3920,0
110,30,21,4,1,1900000110,0,0,0,2399,1,0,7,57,6230,0
110,30,21,4,1,1900000110,1,0,0,1973,1,0,98,41,5500,0
111,31,22,5,2,1900000111,0,1,0,1654,2,132,175,24,4180,0
111,31,22,5,2,1900000111,1,1,0,1632,2,132,175,27,4790,0
112,32,23,0,0,1900000112,0,2,0,2700,3,30,62,46,8790,0
112,32,23,0,0,1900000112,1,2,0,1276,1,0,27,23,4500,0
113,33,24,1,1,1900000113,0,3,0,2700,3,97,22,49,8370,0
113,33,24,1,1,1900000113,1,3,1,904,1,42,0,19,3110,0
114,34,25,2,2,1900000114,0,0,0,827,1,0,3,17,2920,0
114,34,25,2,2,1900000114,1,0,0,587,1,0,13,13,2120,0
115,35,26,3,0,1900000115,0,1,0,1128,1,0,94,21,3610,0
115,35,26,3,0,1900000115,1,1,0,1720,1,0,94,32,5480,0
116,36,27,4,1,1900000116,0,2,0,1160,1,0,73,21,3980,0
116,36,27,4,1,1900000116,1,2,0,826,1,0,109,13,2510,0
117,37,28,5,2,1900000117,0,3,0,637,1,0,84,11,2140,0
117,37,28,5,2,1900000117,1,3,0,520,1,0,71,9,1800,0
118,38,29,0,0,1900000118,0,0,1,910,1,57,0,18,3180,0
118,38,29,0,0,1900000118,1,0,1,1094,1,57,0,19,3350,0
119,39,30,1,1,1900000119,0,1,0,1847,1,0,75,30,6400,0
119,39,30,1,1,1900000119,1,1,0,1815,1,0,37,30,6200,0
120,0,38,3,0,1900000120,0,3,0,731,1,0,25,14,2430,0
120,0,38,3,0,1900000120,1,3,0,794,1,0,87,16,2620,0
121,1,39,4,1,1900000121,0,0,0,2415,2,136,63,44,7390,0
121,1,39,4,1,1900000121,1,0,1,1632,2,136,71,30,5290,0
122,2,0,5,2,1900000122,0,1,0,1097,2,94,13,17,3240,0
122,2,0,5,2,1900000122,1,1,0,1034,2,38,113,17,3310,0
123,3,1,0,0,1900000123,0,2,0,1179,1,0,28,23,3970,0
123,3,1,0,0,1900000123,1,2,0,1107,1,0,50,22,3770,0
124,4,2,1,1,1900000124,0,3,0,301,1,0,84,6,1050,0
124,4,2,1,1,1900000124,1,3,0,356,1,0,94,8,1420,0
125,5,3,2,2,1900000125,0,0,0,1249,1,0,16,26,4040,0
125,5,3,2,2,1900000125,1,0,0,1826,1,0,1,32,6040,0
126,6,4,3,0,1900000126,0,1,0,960,1,0,113,17,3250,0
126,6,4,3,0,1900000126,1,1,0,1880,2,48,98,33,6040,0
127,7,5,4,1,1900000127,0,2,0,1336,1,0,77,27,4270,0
127,7,5,4,1,1900000127,1,2,0,838,1,0,109,19,2780,0
128,8,6,5,2,1900000128,0,3,0,821,2,53,110,15,2790,0
128,8,6,5,2,1900000128,1,3,0,780,2,78,113,15,2560,0
129,9,7,0,0,1900000129,0,0,0,1786,1,0,82,31,6110,0
129,9,7,0,0,1900000129,1,0,0,1887,1,0,100,33,6230,0
130,10,8,1,1,1900000130,0,1,1,1464,1,10,0,27,4910,0
130,10,8,1,1,1900000130,1,1,0,1074,1,0,5,21,3840,0
131,11,9,2,2,1900000131,0,2,0,1987,1,0,125,32,6920,0
131,11,9,2,2,1900000131,1,2,0,2700,3,93,149,42,9240,0
132,12,10,3,0,1900000132,0,3,0,606,1,0,100,11,2290,0
132,12,10,3,0,1900000132,1,3,0,1377,1,0,22,24,4600,0
133,13,11,4,1,1900000133,0,0,0,1961,1,0,22,34,6390,0
133,13,11,4,1,1900000133,1,0,0,2700,3,12,85,47,8740,0
134,14,12,5,2,1900000134,0,1,0,767,1,0,56,16,2480,0
134,14,12,5,2,1900000134,1,1,0,1042,1,0,95,19,3600,0
135,15,13,0,0,1900000135,0,2,0,728,1,0,32,15,2560,0
135,15,13,0,0,1900000135,1,2,0,1392,1,0,44,26,4590,0
136,16,14,1,1,1900000136,0,3,0,2331,1,0,77,39,7750,0
136,16,14,1,1,1900000136,1,3,0,2700,3,93,24,45,8890,0
137,17,15,2,2,1900000137,0,0,1,2476,1,25,0,41,8200,0
137,17,15,2,2,1900000137,1,0,0,1328,1,0,34,24,4420,0
138,18,16,3,0,1900000138,0,1,1,780,1,4,0,15,2620,0
138,18,16,3,0,1900000138,1,1,1,710,1,14,0,14,2370,0
139,19,17,4,1,1900000139,0,2,0,1456,1,0,51,27,4680,0
139,19,17,4,1,1900000139,1,2,0,1072,1,0,48,20,3560,0
140,20,18,5,2,1900000140,0,3,0,847,2,102,129,14,2670,0
140,20,18,5,2,1900000140,1,3,0,843,2,102,129,14,2670,0
141,21,19,0,0,1900000141,0,0,0,2700,3,32,87,46,8510,0
141,21,19,0,0,1900000141,1,0,0,2700,3,94,72,49,8480,0
142,22,20,1,1,1900000142,0,1,0,2700,3,55,60,44,9880,0
142,22,20,1,1,1900000142,1,1,0,1277,1,0,86,21,4920,0
143,23,21,2,2,1900000143,0,2,0,1466,1,0,100,28,4970,0
143,23,21,2,2,1900000143,1,2,0,1570,1,0,100,30,5200,0
144,24,22,3,0,1900000144,0,3,0,1701,1,0,129,28,5400,0
144,24,22,3,0,1900000144,1,3,0,1831,1,0,69,29,6040,0
145,25,23,4,1,1900000145,0,0,0,981,1,0,76,19,3320,0
145,25,23,4,1,1900000145,1,0,0,961,1,0,59,20,3190,0
146,26,24,5,2,1900000146,0,1,0,1642,1,0,25,30,5100,0
146,26,24,5,2,1900000146,1,1,1,2700,3,23,15,48,8250,0
147,27,25,0,0,1900000147,0,2,1,1244,1,30,0,23,4210,0
147,27,25,0,0,1900000147,1,2,1,868,1,68,0,17,3120,0
148,28,26,1,1,1900000148,0,3,0,1123,2,63,4,20,3950,0
148,28,26,1,1,1900000148,1,3,0,451,1,0,33,9,1930,0
149,29,27,2,2,1900000149,0,0,0,1448,1,0,79,26,4920,0
