a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,3,2028,1,0,3,0,0,454,1,19,0,0,0,0
3,0,2028,1,0,0,3,0,596,1,28,0,27,151,0
0,3,2029,2,0,3,0,0,382,1,25,0,29,35,0
3,0,2029,2,0,0,3,0,609,1,40,0,56,69,0
0,3,2030,0,1,3,0,0,510,1,2,0,76,0,0
3,0,2030,0,1,0,3,1,510,1,0,2,0,76,0
0,3,2031,1,1,3,0,0,480,1,19,0,108,0,0
3,0,2031,1,1,0,3,1,519,1,0,8,3,62,0
0,3,2032,2,1,3,0,0,706,1,34,0,84,14,0
3,0,2032,2,1,0,3,1,607,1,0,38,0,205,0
0,3,2033,0,2,3,0,1,459,1,0,13,34,0,0
3,0,2033,0,2,0,3,0,459,1,13,0,0,34,0
0,3,2034,1,2,3,0,0,472,1,30,0,29,20,0
3,0,2034,1,2,0,3,0,546,1,51,0,43,39,0
0,3,2035,2,2,3,0,1,387,1,0,56,29,67,0
3,0,2035,2,2,0,3,0,444,1,52,0,42,29,0
0,4,2000,0,0,0,1,1,660,1,0,86,158,0,0
4,0,2000,0,0,1,0,0,660,1,86,0,0,158,0
0,4,2001,1,0,0,1,0,313,1,82,0,26,17,0
4,0,2001,1,0,1,0,-1,480,1,0,0,55,0,0
0,4,2002,2,0,0,1,1,690,1,0,4,25,204,0
4,0,2002,2,0,1,0,1,402,1,0,80,0,51,0
0,4,2003,0,1,0,1,1,845,1,0,9,151,0,0
4,0,2003,0,1,1,0,0,865,1,26,0,0,151,0
0,4,2004,1,1,0,1,0,801,1,30,0,0,271,0
4,0,2004,1,1,1,0,1,427,1,0,53,47,0,0
0,4,2005,2,1,0,1,1,960,1,0,14,0,197,0
4,0,2005,2,1,1,0,1,592,1,0,29,91,41,0
0,4,2006,0,2,0,1,0,487,1,40,0,50,0,0
4,0,2006,0,2,1,0,1,487,1,0,40,0,50,0
0,4,2007,1,2,0,1,1,600,1,0,2,53,83,0
4,0,2007,1,2,1,0,1,430,1,0,71,75,10,0
0,4,2008,2,2,0,1,0,600,1,77,0,61,37,0
4,0,2008,2,2,1,0,0,520,1,17,0,131,104,0
0,4,2009,0,0,1,2,0,670,1,5,0,33,0,0
4,0,2009,0,0,2,1,1,670,1,0,5,0,33,0
0,4,2010,1,0,1,2,0,258,1,79,0,72,0,0
4,0,2010,1,0,2,1,1,473,1,0,66,47,51,0
0,4,2011,2,0,1,2,0,509,1,22,0,6,114,0
4,0,2011,2,0,2,1,1,532,1,0,56,128,12,0
0,4,2012,0,1,1,2,0,570,1,43,0,0,0,0
4,0,2012,0,1,2,1,1,574,1,0,46,0,0,0
0,4,2013,1,1,1,2,0,490,1,78,0,52,0,0
4,0,2013,1,1,2,1,1,420,1,0,34,42,8,0
0,4,2014,2,1,1,2,1,697,1,0,10,65,37,0
4,0,2014,2,1,2,1,1,441,1,0,63,23,28,0
0,4,2015,0,2,1,2,0,608,1,13,0,50,41,0
4,0,2015,0,2,2,1,1,608,1,0,13,41,50,0
0,4,2016,1,2,1,2,0,498,1,76,0,118,43,0
4,0,2016,1,2,2,1,1,496,1,0,16,15,62,0
0,4,2017,2,2,1,2,0,622,1,69,0,108,90,0
4,0,2017,2,2,2,1,1,436,1,0,73,0,44,0
0,4,2018,0,0,2,3,0,535,1,9,0,50,0,0
4,0,2018,0,0,3,2,1,535,1,0,9,0,50,0
0,4,2019,1,0,2,3,0,340,1,32,0,63,50,0
4,0,2019,1,0,3,2,1,352,1,0,47,74,86,0
0,4,2020,2,0,2,3,0,616,1,57,0,34,210,0
4,0,2020,2,0,3,2,1,697,1,0,24,59,113,0
0,4,2021,0,1,2,3,1,600,1,0,11,67,116,0
4,0,2021,0,1,3,2,0,600,1,11,0,116,67,0
0,4,2022,1,1,2,3,0,846,2,59,70,600,0,0
4,0,2022,1,1,3,2,0,634,1,13,0,50,107,0
0,4,2023,2,1,2,3,1,630,1,0,72,57,183,0
4,0,2023,2,1,3,2,1,713,1,0,39,236,0,0
0,4,2024,0,2,2,3,0,361,1,50,0,0,66,0
4,0,2024,0,2,3,2,1,361,1,0,50,66,0,0
0,4,2025,1,2,2,3,0,454,1,48,0,35,85,0
4,0,2025,1,2,3,2,1,418,1,0,34,138,0,0
0,4,2026,2,2,2,3,0,597,1,26,0,98,28,0
4,0,2026,2,2,3,2,1,314,1,0,80,81,0,0
0,4,2027,0,0,3,0,0,480,1,70,0,43,0,0
4,0,2027,0,0,0,3,1,480,1,0,70,0,43,0
0,4,2028,1,0,3,0,1,934,1,0,10,238,48,0
4,0,2028,1,0,0,3,1,609,1,0,70,0,76,0
0,4,2029,2,0,3,0,0,343,1,41,0,62,37,0
4,0,2029,2,0,0,3,0,900,1,54,0,116,107,0
0,4,2030,0,1,3,0,1,1290,1,0,31,0,0,0
4,0,2030,0,1,0,3,1,570,1,0,43,0,0,0
0,4,2031,1,1,3,0,1,750,1,0,10,0,232,0
4,0,2031,1,1,0,3,1,451,1,0,53,4,65,0
0,4,2032,2,1,3,0,0,1060,1,70,0,110,114,0
4,0,2032,2,1,0,3,1,463,1,0,37,147,83,0
0,4,2033,0,2,3,0,0,377,1,72,0,12,15,0
4,0,2033,0,2,0,3,1,377,1,0,72,15,12,0
0,4,2034,1,2,3,0,0,508,1,100,0,161,31,0
4,0,2034,1,2,0,3,0,630,1,33,0,130,78,0
0,4,2035,2,2,3,0,0,750,1,75,0,84,46,0
4,0,2035,2,2,0,3,1,703,1,0,19,61,217,0
0,5,2000,0,0,0,1,1,814,1,0,19,40,20,0
5,0,2000,0,0,1,0,0,814,1,19,0,20,40,0
0,5,2001,1,0,0,1,1,1053,1,0,33,40,4,0
5,0,2001,1,0,1,0,0,452,1,52,0,0,27,0
0,5,2002,2,0,0,1,1,1175,1,0,36,52,51,0
5,0,2002,2,0,1,0,0,1159,1,31,0,3,50,0
0,5,2003,0,1,0,1,0,545,1,4,0,25,22,0
5,0,2003,0,1,1,0,1,545,1,0,4,22,25,0
0,5,2004,1,1,0,1,0,725,1,28,0,59,0,0
5,0,2004,1,1,1,0,1,716,1,0,46,12,117,0
0,5,2005,2,1,0,1,1,889,1,0,30,30,36,0
5,0,2005,2,1,1,0,1,1076,1,0,57,33,138,0
0,5,2006,0,2,0,1,0,420,1,4,0,16,0,0
5,0,2006,0,2,1,0,1,420,1,0,4,0,16,0
0,5,2007,1,2,0,1,0,730,1,19,0,17,37,0
5,0,2007,1,2,1,0,1,781,1,0,10,0,56,0
0,5,2008,2,2,0,1,0,1234,1,7,0,54,1,0
5,0,2008,2,2,1,0,0,967,1,11,0,52,92,0
0,5,2009,0,0,1,2,1,673,1,0,9,39,0,0
5,0,2009,0,0,2,1,0,673,1,9,0,0,39,0
0,5,2010,1,0,1,2,0,690,1,49,0,14,0,0
5,0,2010,1,0,2,1,1,1050,1,0,103,2,7,0
0,5,2011,2,0,1,2,1,841,1,0,12,16,8,0
5,0,2011,2,0,2,1,1,982,1,0,18,34,130,0
0,5,2012,0,1,1,2,0,840,1,67,0,97,14,0
5,0,2012,0,1,2,1,1,840,1,0,67,14,97,0
0,5,2013,1,1,1,2,0,930,1,46,0,19,0,0
5,0,2013,1,1,2,1,1,646,1,0,28,3,153,0
0,5,2014,2,1,1,2,1,1048,1,0,58,17,0,0
5,0,2014,2,1,2,1,1,983,1,0,28,38,12,0
0,5,2015,0,2,1,2,0,930,1,56,0,87,30,0
5,0,2015,0,2,2,1,1,930,1,0,56,30,87,0
0,5,2016,1,2,1,2,0,706,1,49,0,130,0,0
5,0,2016,1,2,2,1,1,758,1,0,28,25,48,0
0,5,2017,2,2,1,2,0,990,1,18,0,103,27,0
5,0,2017,2,2,2,1,1,1093,1,0,21,5,134,0
0,5,2018,0,0,2,3,1,913,1,0,18,152,16,0
5,0,2018,0,0,3,2,0,913,1,18,0,16,152,0
0,5,2019,1,0,2,3,1,602,1,0,55,18,24,0
5,0,2019,1,0,3,2,0,748,1,23,0,0,0,0
0,5,2020,2,0,2,3,1,526,1,0,30,17,18,0
5,0,2020,2,0,3,2,1,1230,1,0,11,15,32,0
0,5,2021,0,1,2,3,0,582,1,28,0,49,78,0
5,0,2021,0,1,3,2,1,582,1,0,28,78,49,0
0,5,2022,1,1,2,3,1,1097,1,0,1,115,164,0
5,0,2022,1,1,3,2,1,583,1,0,15,40,56,0
0,5,2023,2,1,2,3,0,720,1,51,0,112,2,0
5,0,2023,2,1,3,2,0,1207,1,6,0,56,56,0
0,5,2024,0,2,2,3,0,690,1,28,0,82,54,0
5,0,2024,0,2,3,2,1,690,1,0,28,54,82,0
0,5,2025,1,2,2,3,0,780,1,25,0,31,114,0
5,0,2025,1,2,3,2,1,685,1,0,21,0,140,0
0,5,2026,2,2,2,3,0,550,1,28,0,132,0,0
5,0,2026,2,2,3,2,0,676,1,51,0,63,57,0
0,5,2027,0,0,3,0,0,490,1,22,0,86,0,0
5,0,2027,0,0,0,3,1,490,1,0,22,0,86,0
0,5,2028,1,0,3,0,1,731,1,0,10,135,0,0
5,0,2028,1,0,0,3,1,1105,1,0,10,20,222,0
0,5,2029,2,0,3,0,0,1110,1,33,0,174,14,0
5,0,2029,2,0,0,3,0,865,1,17,0,0,213,0
0,5,2030,0,1,3,0,0,664,1,28,0,107,25,0
5,0,2030,0,1,0,3,1,664,1,0,28,25,107,0
0,5,2031,1,1,3,0,0,722,1,64,0,114,0,0
5,0,2031,1,1,0,3,1,514,1,0,85,0,82,0
0,5,2032,2,1,3,0,0,901,1,18,0,92,0,0
5,0,2032,2,1,0,3,1,904,1,0,25,0,228,0
0,5,2033,0,2,3,0,0,660,1,10,0,80,0,0
5,0,2033,0,2,0,3,1,660,1,0,10,0,80,0
0,5,2034,1,2,3,0,0,844,1,13,0,179,0,0
5,0,2034,1,2,0,3,1,810,1,0,36,2,67,0
0,5,2035,2,2,3,0,0,1050,1,15,0,270,0,0
5,0,2035,2,2,0,3,0,748,1,12,0,0,202,0
0,6,2000,0,0,0,1,0,1260,1,58,0,3,27,0
6,0,2000,0,0,1,0,1,1260,1,0,58,27,3,0
0,6,2001,1,0,0,1,0,880,1,48,0,0,33,0
6,0,2001,1,0,1,0,1,1105,1,0,20,9,0,0
0,6,2002,2,0,0,1,1,702,1,0,15,10,19,0
