a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
2,0,2030,0,1,0,3,0,463,1,47,0,0,94,0
0,2,2031,1,1,3,0,0,300,1,23,0,65,0,0
2,0,2031,1,1,0,3,0,260,1,82,0,0,20,0
0,2,2032,2,1,3,0,0,321,1,10,0,137,0,0
2,0,2032,2,1,0,3,0,264,1,87,0,0,13,0
0,2,2033,0,2,3,0,0,263,1,10,0,49,0,0
2,0,2033,0,2,0,3,1,263,1,0,10,0,49,0
0,2,2034,1,2,3,0,1,407,1,0,16,155,0,0
2,0,2034,1,2,0,3,0,925,1,56,0,0,107,0
0,2,2035,2,2,3,0,1,968,1,0,28,185,0,0
2,0,2035,2,2,0,3,0,416,1,47,0,0,64,0
0,3,2000,0,0,0,1,0,1038,1,26,0,45,43,0
3,0,2000,0,0,1,0,1,1107,1,0,26,116,83,0
0,3,2001,1,0,0,1,0,550,1,102,0,102,55,0
3,0,2001,1,0,1,0,1,788,1,0,16,91,139,0
0,3,2002,2,0,0,1,0,1230,1,71,0,192,280,0
3,0,2002,2,0,1,0,1,1359,1,0,7,50,115,0
0,3,2003,0,1,0,1,1,1290,1,0,6,9,57,0
3,0,2003,0,1,1,0,1,1110,1,0,31,80,35,0
0,3,2004,1,1,0,1,0,788,1,35,0,73,25,0
3,0,2004,1,1,1,0,0,795,1,38,0,180,47,0
0,3,2005,2,1,0,1,0,542,1,73,0,35,16,0
3,0,2005,2,1,1,0,0,1229,1,27,0,189,122,0
0,3,2006,0,2,0,1,0,1570,1,25,0,79,49,0
3,0,2006,0,2,1,0,1,1164,1,0,43,49,0,0
0,3,2007,1,2,0,1,0,1351,1,13,0,65,106,0
3,0,2007,1,2,1,0,1,389,1,0,27,81,50,0
0,3,2008,2,2,0,1,1,1100,1,0,15,56,99,0
3,0,2008,2,2,1,0,1,1170,1,0,53,45,0,0
0,3,2009,0,0,1,2,0,1549,1,17,0,91,139,0
3,0,2009,0,0,2,1,1,1392,1,0,50,2,60,0
0,3,2010,1,0,1,2,0,1361,1,69,0,92,41,0
3,0,2010,1,0,2,1,1,641,1,0,50,25,45,0
0,3,2011,2,0,1,2,1,756,1,0,73,165,140,0
3,0,2011,2,0,2,1,1,783,1,0,90,39,68,0
0,3,2012,0,1,1,2,1,1225,1,0,32,110,178,0
3,0,2012,0,1,2,1,1,579,1,0,109,60,70,0
0,3,2013,1,1,1,2,0,1080,1,21,0,142,102,0
3,0,2013,1,1,2,1,0,1631,1,28,0,95,111,0
0,3,2014,2,1,1,2,0,1139,1,65,0,73,15,0
3,0,2014,2,1,2,1,1,900,1,0,97,12,0,0
0,3,2015,0,2,1,2,0,2306,1,33,0,135,174,0
3,0,2015,0,2,2,1,1,586,1,0,101,89,120,0
0,3,2016,1,2,1,2,1,1369,1,0,9,104,140,0
3,0,2016,1,2,2,1,0,696,1,75,0,77,46,0
0,3,2017,2,2,1,2,0,690,1,53,0,0,50,0
3,0,2017,2,2,2,1,1,906,1,0,58,164,120,0
0,3,2018,0,0,2,3,0,750,1,58,0,24,208,0
3,0,2018,0,0,3,2,1,750,1,0,58,208,24,0
0,3,2019,1,0,2,3,0,785,1,61,0,87,284,0
3,0,2019,1,0,3,2,1,1045,1,0,80,261,89,0
0,3,2020,2,0,2,3,0,1582,1,56,0,69,415,0
3,0,2020,2,0,3,2,1,947,1,0,42,145,43,0
0,3,2021,0,1,2,3,1,1760,1,0,8,0,77,0
3,0,2021,0,1,3,2,0,1226,1,30,0,76,0,0
0,3,2022,1,1,2,3,0,930,1,65,0,0,218,0
3,0,2022,1,1,3,2,1,716,1,0,76,269,4,0
0,3,2023,2,1,2,3,0,1287,1,53,0,39,160,0
3,0,2023,2,1,3,2,0,1175,1,14,0,120,0,0
0,3,2024,0,2,2,3,0,898,1,47,0,39,122,0
3,0,2024,0,2,3,2,1,1410,1,0,11,160,30,0
0,3,2025,1,2,2,3,0,600,1,69,0,0,68,0
3,0,2025,1,2,3,2,1,810,1,0,23,77,0,0
0,3,2026,2,2,2,3,0,1094,1,41,0,0,66,0
3,0,2026,2,2,3,2,0,917,1,46,0,94,0,0
0,3,2027,0,0,3,0,0,700,1,4,0,125,0,0
3,0,2027,0,0,0,3,1,1011,1,0,20,0,69,0
0,3,2028,1,0,3,0,0,1582,1,16,0,123,0,0
3,0,2028,1,0,0,3,0,621,1,49,0,0,68,0
0,3,2029,2,0,3,0,0,1637,1,6,0,115,38,0
3,0,2029,2,0,0,3,1,1425,1,0,26,0,81,0
0,3,2030,0,1,3,0,0,1026,1,50,0,127,25,0
3,0,2030,0,1,0,3,1,538,1,0,30,21,94,0
0,3,2031,1,1,3,0,0,540,1,87,0,96,0,0
3,0,2031,1,1,0,3,1,1036,1,0,54,15,236,0
0,3,2032,2,1,3,0,0,1044,1,21,0,191,0,0
3,0,2032,2,1,0,3,1,1113,1,0,9,16,147,0
0,3,2033,0,2,3,0,1,914,1,0,25,118,25,0
3,0,2033,0,2,0,3,1,1156,1,0,43,0,71,0
0,3,2034,1,2,3,0,0,750,1,49,0,73,0,0
3,0,2034,1,2,0,3,1,1151,1,0,17,53,143,0
0,3,2035,2,2,3,0,0,1290,1,9,0,126,61,0
3,0,2035,2,2,0,3,0,1064,1,47,0,44,146,0
0,4,2000,0,0,0,1,0,1440,1,44,0,98,120,0
4,0,2000,0,0,1,0,0,750,1,9,0,103,101,0
0,4,2001,1,0,0,1,0,988,1,41,0,48,0,0
4,0,2001,1,0,1,0,0,2050,1,36,0,216,184,0
0,4,2002,2,0,0,1,0,1771,1,22,0,161,79,0
4,0,2002,2,0,1,0,0,1320,1,19,0,76,23,0
0,4,2003,0,1,0,1,1,1726,1,0,2,61,0,0
4,0,2003,0,1,1,0,0,1768,1,24,0,0,25,0
0,4,2004,1,1,0,1,0,811,2,33,75,600,0,0
4,0,2004,1,1,1,0,1,1200,1,0,38,240,162,0
0,4,2005,2,1,0,1,1,750,1,0,112,538,0,0
4,0,2005,2,1,1,0,0,1080,1,103,0,165,441,0
0,4,2006,0,2,0,1,0,1440,1,83,0,89,102,0
4,0,2006,0,2,1,0,1,1470,1,0,59,146,177,0
0,4,2007,1,2,0,1,0,2130,1,49,0,149,157,0
4,0,2007,1,2,1,0,1,1036,1,0,68,113,94,0
0,4,2008,2,2,0,1,0,2460,1,16,0,47,24,0
4,0,2008,2,2,1,0,0,1521,1,19,0,316,276,0
0,4,2009,0,0,1,2,1,720,1,0,15,29,83,0
4,0,2009,0,0,2,1,0,720,1,15,0,83,29,0
0,4,2010,1,0,1,2,0,1385,1,67,0,170,188,0
4,0,2010,1,0,2,1,0,677,1,52,0,136,124,0
0,4,2011,2,0,1,2,0,1996,1,7,0,235,310,0
4,0,2011,2,0,2,1,0,1138,1,66,0,0,49,0
0,4,2012,0,1,1,2,0,1050,1,16,0,34,0,0
4,0,2012,0,1,2,1,1,1050,1,0,16,0,34,0
0,4,2013,1,1,1,2,0,660,1,100,0,54,0,0
4,0,2013,1,1,2,1,0,1290,1,55,0,132,84,0
0,4,2014,2,1,1,2,1,1080,1,0,96,252,199,0
4,0,2014,2,1,2,1,0,569,1,23,0,61,1,0
0,4,2015,0,2,1,2,1,930,1,0,69,58,0,0
4,0,2015,0,2,2,1,0,1119,1,19,0,105,53,0
0,4,2016,1,2,1,2,0,2700,3,99,53,111,66,0
4,0,2016,1,2,2,1,0,1402,1,54,0,65,39,0
0,4,2017,2,2,1,2,0,2700,3,44,25,128,37,0
4,0,2017,2,2,2,1,1,2611,1,0,59,75,74,0
0,4,2018,0,0,2,3,0,1179,1,35,0,98,171,0
4,0,2018,0,0,3,2,0,1453,1,60,0,101,13,0
0,4,2019,1,0,2,3,1,2587,1,0,23,97,32,0
4,0,2019,1,0,3,2,1,1020,1,0,33,131,0,0
0,4,2020,2,0,2,3,1,1965,1,0,31,129,213,0
4,0,2020,2,0,3,2,0,1110,1,18,0,110,0,0
0,4,2021,0,1,2,3,1,2700,3,41,102,34,152,0
4,0,2021,0,1,3,2,0,2700,3,102,41,152,34,0
0,4,2022,1,1,2,3,0,1435,1,25,0,32,94,0
4,0,2022,1,1,3,2,0,2700,3,83,26,125,61,0
0,4,2023,2,1,2,3,0,2339,1,39,0,37,11,0
4,0,2023,2,1,3,2,0,2439,1,35,0,60,20,0
0,4,2024,0,2,2,3,0,2441,1,39,0,52,99,0
4,0,2024,0,2,3,2,1,1020,1,0,8,93,0,0
0,4,2025,1,2,2,3,0,2413,1,21,0,161,242,0
4,0,2025,1,2,3,2,1,870,1,0,22,126,0,0
0,4,2026,2,2,2,3,1,2700,3,43,11,5,84,0
4,0,2026,2,2,3,2,0,1003,1,3,0,203,0,0
0,4,2027,0,0,3,0,1,1585,1,0,37,97,0,0
4,0,2027,0,0,0,3,1,1090,1,0,9,0,103,0
0,4,2028,1,0,3,0,0,480,1,47,0,176,0,0
4,0,2028,1,0,0,3,0,870,1,59,0,21,215,0
0,4,2029,2,0,3,0,0,1845,1,2,0,270,3,0
4,0,2029,2,0,0,3,0,1351,1,61,0,194,265,0
0,4,2030,0,1,3,0,0,1144,1,47,0,92,0,0
4,0,2030,0,1,0,3,1,963,1,0,62,0,93,0
0,4,2031,1,1,3,0,0,835,2,50,43,600,0,0
4,0,2031,1,1,0,3,0,830,1,71,0,129,181,0
0,4,2032,2,1,3,0,0,1246,1,25,0,440,0,0
4,0,2032,2,1,0,3,0,2010,1,62,0,209,280,0
0,4,2033,0,2,3,0,0,1350,1,11,0,100,0,0
4,0,2033,0,2,0,3,1,1757,1,0,19,0,79,0
0,4,2034,1,2,3,0,0,810,1,56,0,125,0,0
4,0,2034,1,2,0,3,1,2000,1,0,30,60,220,0
0,4,2035,2,2,3,0,1,1020,1,0,41,126,42,0
4,0,2035,2,2,0,3,0,1680,1,32,0,127,211,0
0,5,2000,0,0,0,1,0,1741,1,46,0,107,81,0
5,0,2000,0,0,1,0,1,2004,1,0,64,69,188,0
0,5,2001,1,0,0,1,0,1098,1,58,0,68,19,0
5,0,2001,1,0,1,0,1,1594,1,0,67,91,110,0
0,5,2002,2,0,0,1,0,2562,2,46,23,600,34,0
5,0,2002,2,0,1,0,1,1852,1,0,31,77,142,0
