case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
54,14,38,1,0,2100000054,1,3,1,693,1,113,0,16,2280,0,STEADY,231,2.90447,8.17301,0.27513,0.030303,0.04329,0,0,5,7,1,1,2,104,0,0,0,33,4a424577,c79f418b
55,15,39,2,0,2100000055,0,0,1,934,1,4,0,21,3060,0,STEADY,312,3.08163,2.3069,0.202949,0.403846,0.13141,95,13,12,6,0,1,2,114,114,0,0,220,4a424577,c79f418b
55,15,39,2,0,2100000055,1,0,1,1852,1,11,0,37,5790,0,STEADY,618,2.92839,3.32112,0.136812,0.320388,0.0679612,189,8,13,19,0,1,4,114,107,0,18,217,4a424577,c79f418b
56,16,0,3,0,2100000056,0,1,1,946,1,63,0,19,3440,0,STEADY,316,3.58661,2.54509,0.174351,0.132911,0.433544,0,0,16,3,0,0,0,113,52,0,0,335,4a424577,c79f418b
56,16,0,3,0,2100000056,1,1,1,902,1,57,0,18,3300,0,STEADY,301,3.72708,4.42726,0.182342,0.0930233,0.159468,0,0,14,3,0,0,1,113,58,0,0,105,4a424577,c79f418b
57,17,1,4,0,2100000057,0,2,1,694,1,81,0,15,2280,0,STEADY,232,2.88516,5.32302,0.295582,0.181034,0.185345,0,0,7,2,0,2,4,136,11,12,0,5,4a424577,c79f418b
57,17,1,4,0,2100000057,1,2,0,373,1,0,30,9,1440,0,STEADY,125,3.44255,5.35322,0.45736,0.28,0,36,0,4,2,0,2,1,110,98,6,0,0,4a424577,c79f418b
58,18,2,5,0,2100000058,0,3,1,1488,1,78,0,26,3880,0,STEADY,496,2.97575,6.29007,0.193651,0.0625,0.0645161,0,0,21,3,0,0,2,94,51,0,0,56,4a424577,c79f418b
58,18,2,5,0,2100000058,1,3,1,1440,1,63,0,26,3930,0,STEADY,480,3.79496,8.80459,0.212798,0.127083,0.0875,0,0,21,4,0,0,1,94,66,0,0,0,4a424577,c79f418b
59,19,3,0,0,2100000059,0,0,0,873,1,0,6,18,3120,0,STEADY,291,4.94505,3.52939,0.189175,0.24055,0.120275,96,1,16,0,0,1,1,97,132,0,6,90,4a424577,c79f418b
59,19,3,0,0,2100000059,1,0,0,1043,1,0,6,21,3630,0,STEADY,348,4.58074,3.36552,0.168994,0.227011,0.212644,173,32,19,0,0,1,1,97,132,0,0,100,4a424577,c79f418b
60,20,4,1,0,2100000060,0,1,0,1291,1,0,46,24,4460,0,STEADY,431,5.38635,4.06785,0.158271,0.357309,0.185615,282,57,18,1,1,3,1,116,102,0,2,286,4a424577,c79f418b
60,20,4,1,0,2100000060,1,1,1,1141,2,16,12,22,4020,0,STEADY,381,5.1733,2.97867,0.17042,0.404199,0.141732,171,21,17,1,0,2,2,124,86,0,0,600,4a424577,c79f418b
61,21,5,2,0,2100000061,0,2,1,1048,1,34,0,24,3330,0,STEADY,350,2.91833,2.22618,0.145471,0.00857143,0.411429,31,1,5,17,1,0,1,141,90,0,0,121,4a424577,c79f418b
61,21,5,2,0,2100000061,1,2,0,967,1,0,8,22,3120,0,STEADY,323,2.96894,2.51898,0.139303,0.0247678,0.408669,32,14,4,15,1,0,2,133,124,0,0,25,4a424577,c79f418b
62,22,6,3,0,2100000062,0,3,0,2618,1,0,21,40,8980,0,STEADY,873,3.43549,4.64901,0.152679,0.146621,0.0320733,142,2,4,10,11,0,15,74,175,0,74,224,4a424577,c79f418b
62,22,6,3,0,2100000062,1,3,1,2700,3,72,26,42,9270,0,STEADY,900,3.44583,6.437,0.14557,0.0888889,0.0411111,0,0,3,9,11,0,19,24,103,0,16,160,4a424577,c79f418b
63,23,7,4,0,2100000063,0,0,1,571,1,75,0,14,2130,0,STEADY,191,2.85655,2.18362,0.262644,0.162304,0.109948,0,0,7,5,1,0,1,100,40,10,0,19,4a424577,c79f418b
63,23,7,4,0,2100000063,1,0,1,472,1,105,0,12,1900,0,STEADY,158,3.12965,1.97518,0.290127,0.234177,0.101266,0,0,4,6,0,0,2,100,0,0,0,31,4a424577,c79f418b
64,24,8,5,0,2100000064,0,1,0,1186,1,0,59,24,3480,0,STEADY,396,4.00695,6.85678,0.209583,0.381313,0.151515,176,20,18,2,1,2,1,57,125,0,7,0,4a424577,c79f418b
64,24,8,5,0,2100000064,1,1,0,670,1,0,14,14,2400,0,STEADY,224,3.53175,2.85545,0.285513,0.401786,0.138393,48,14,7,2,2,2,1,102,125,0,20,176,4a424577,c79f418b
