case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
33,33,10,3,0,2150000033,0,1,0,682,1,0,71,13,2280,0,STEADY,228,2.58084,7.81693,0.398368,0.0964912,0.210526,61,38,8,0,1,0,4,53,152,0,0,10,bac8138c,0
33,33,10,3,0,2150000033,1,1,1,638,1,120,0,13,2070,0,STEADY,213,3.02541,7.99183,0.382817,0.0516432,0.0610329,0,0,7,0,4,0,2,124,32,0,0,0,bac8138c,0
34,34,11,4,0,2150000034,0,2,0,1138,1,0,39,21,3450,0,STEADY,380,2.84132,8.19583,0.365089,0.415789,0.144737,67,7,5,12,0,0,4,126,140,0,0,0,bac8138c,0
34,34,11,4,0,2150000034,1,2,0,832,1,0,9,16,2565,0,STEADY,278,2.51853,8.64069,0.259525,0.44964,0.0611511,73,15,6,7,0,0,3,132,140,0,0,0,bac8138c,0
35,35,12,5,0,2150000035,0,3,0,436,1,0,63,10,1480,0,STEADY,146,3.63688,2.21158,0.409568,0.0753425,0.0753425,49,8,4,5,0,1,0,48,101,0,0,81,bac8138c,0
35,35,12,5,0,2150000035,1,3,0,928,1,0,17,16,2391,0,STEADY,310,2.10917,2.8357,0.212268,0.016129,0.0451613,118,3,5,9,0,1,1,94,101,0,0,68,bac8138c,0
36,36,13,0,0,2150000036,0,0,1,1268,1,4,0,20,4280,0,STEADY,423,2.78296,8.81068,0.351258,0.153664,0.118203,119,0,10,4,0,1,5,104,89,0,0,5,bac8138c,0
36,36,13,0,0,2150000036,1,0,1,1412,1,45,0,18,4101,0,STEADY,471,2.98436,9.99021,0.539535,0.0636943,0.0828025,0,0,13,1,0,0,4,104,48,0,0,0,bac8138c,0
37,37,14,1,0,2150000037,0,1,1,999,1,51,0,19,3290,0,STEADY,333,2.09731,3.80114,0.261751,0.0750751,0.222222,42,30,17,0,0,0,2,113,99,0,0,1,bac8138c,0
37,37,14,1,0,2150000037,1,1,1,802,1,106,0,16,2810,0,STEADY,268,1.84031,2.96547,0.260672,0.011194,0.0932836,0,0,13,0,0,0,3,113,44,0,0,5,bac8138c,0
38,38,15,2,0,2150000038,0,2,1,447,1,36,0,10,1736,0,STEADY,149,3.47852,1.60807,0.51055,0.503356,0,0,0,4,5,0,0,1,118,68,0,0,67,bac8138c,0
38,38,15,2,0,2150000038,1,2,1,715,1,64,0,12,2221,0,STEADY,239,2.56725,8.01778,0.540481,0.359833,0.0334728,0,0,7,2,0,1,2,118,40,0,0,0,bac8138c,0
39,39,16,3,0,2150000039,0,3,1,1159,1,26,0,23,3336,0,STEADY,387,1.98231,1.81732,0.333266,0.0930233,0.126615,12,7,16,4,0,0,3,115,88,0,17,1,bac8138c,0
39,39,16,3,0,2150000039,1,3,1,1066,1,97,0,22,3040,0,STEADY,356,2.06911,1.77222,0.276857,0.0308989,0.106742,0,0,17,2,0,0,3,115,17,0,0,5,bac8138c,0
40,0,24,5,0,2150000040,0,1,1,523,1,43,0,12,1590,0,STEADY,175,3.14581,4.10267,0.417869,0.0514286,0.108571,34,2,9,3,0,0,0,125,70,0,0,8,bac8138c,0
40,0,24,5,0,2150000040,1,1,1,472,1,49,0,11,1470,0,STEADY,158,3.42774,3.24989,0.530848,0.221519,0.126582,0,0,8,3,0,0,0,125,64,0,0,67,bac8138c,0
41,1,25,0,0,2150000041,0,2,0,2206,1,0,17,23,4380,0,STEADY,736,4.51551,6.24403,0.378882,0.177989,0.322011,90,37,4,7,0,5,7,87,136,0,42,19,bac8138c,0
41,1,25,0,0,2150000041,1,2,1,1030,1,57,0,19,3167,0,STEADY,344,2.45588,5.61489,0.420637,0.258721,0.101744,0,0,6,7,0,3,3,104,79,0,53,31,bac8138c,0
42,2,26,1,0,2150000042,0,3,1,1381,1,30,0,22,4002,0,STEADY,461,2.88459,1.62787,0.162755,0.223427,0.316703,1,0,2,18,0,0,2,108,64,0,0,0,bac8138c,0
42,2,26,1,0,2150000042,1,3,1,619,1,53,0,12,2240,0,STEADY,207,3.72942,3.58252,0.238126,0.439614,0.275362,0,0,2,8,0,0,2,108,41,0,0,0,bac8138c,0
43,3,27,2,0,2150000043,0,0,0,2700,3,38,17,41,7226,0,STEADY,900,1.91607,5.18787,0.289586,0.207778,0.0155556,148,8,37,1,0,1,2,128,68,0,10,22,bac8138c,0
43,3,27,2,0,2150000043,1,0,1,2700,3,55,34,43,7558,0,STEADY,900,1.86029,6.13596,0.163346,0.213333,0.0377778,0,0,36,0,0,0,7,111,51,0,0,0,bac8138c,0
44,4,28,3,0,2150000044,0,1,0,382,1,0,101,7,1280,0,STEADY,128,4.56758,3.57831,0.6125,0.273438,0.132812,50,12,0,4,0,0,3,10,123,0,0,77,bac8138c,0
44,4,28,3,0,2150000044,1,1,0,615,1,0,97,12,1994,0,STEADY,205,3.83453,2.2902,0.582659,0.429268,0.112195,97,19,2,9,0,0,1,14,123,0,0,109,bac8138c,0
45,5,29,4,0,2150000045,0,2,0,1198,1,0,39,14,2392,0,STEADY,400,2.12478,2.36425,0.164638,0.22,0.1175,149,23,10,1,0,2,1,63,141,0,0,358,bac8138c,0
45,5,29,4,0,2150000045,1,2,1,959,1,63,0,15,2541,0,STEADY,320,2.76057,8.88333,0.260113,0.41875,0,0,0,8,2,0,5,0,102,78,0,31,15,bac8138c,0
46,6,30,5,0,2150000046,0,3,1,2700,3,75,1,44,7611,0,STEADY,900,1.15309,2.45271,0.122346,0.00777778,0.0777778,0,0,41,1,0,0,2,124,56,0,0,0,bac8138c,0
46,6,30,5,0,2150000046,1,3,1,2304,1,131,0,38,6565,0,STEADY,768,1.20575,2.29592,0.140681,0.0078125,0.0546875,0,0,36,1,0,0,1,125,0,0,0,51,bac8138c,0
47,7,31,0,0,2150000047,0,0,1,538,1,97,0,11,1639,0,STEADY,180,2.04871,4.93952,0.266356,0.0555556,0.0333333,0,0,7,2,0,0,2,141,3,0,0,0,bac8138c,0
47,7,31,0,0,2150000047,1,0,1,802,1,97,0,12,1821,0,STEADY,268,1.67748,6.40015,0.20191,0.0373134,0.0149254,0,0,8,2,0,0,2,141,3,0,0,0,bac8138c,0
48,8,32,1,0,2150000048,0,1,1,721,1,70,0,15,2047,0,STEADY,241,2.62253,2.09106,0.393913,0.0912863,0.120332,0,0,3,0,11,0,1,121,46,0,0,79,bac8138c,0
48,8,32,1,0,2150000048,1,1,1,1168,1,70,0,18,2480,0,STEADY,390,2.74631,9.58643,0.829244,0.0717949,0.0769231,0,0,0,0,14,0,4,121,46,0,0,0,bac8138c,0
49,9,33,2,0,2150000049,0,2,1,884,1,74,0,13,2361,0,STEADY,295,2.75862,6.17857,0.491739,0.00677966,0.0440678,0,0,5,6,0,0,2,152,75,0,0,5,bac8138c,0
49,9,33,2,0,2150000049,1,2,1,1360,1,20,0,19,3203,0,STEADY,454,2.37772,6.36624,0.499555,0.0396476,0.0418502,17,1,5,10,0,0,4,152,131,2,0,5,bac8138c,0
50,10,34,3,0,2150000050,0,3,0,868,1,0,92,15,2660,0,STEADY,290,3.47968,2.00896,0.315497,0.0827586,0.524138,82,69,11,1,0,0,3,48,124,0,0,187,bac8138c,0
50,10,34,3,0,2150000050,1,3,0,642,1,0,44,12,2120,0,STEADY,214,2.50543,2.2134,0.369715,0.0186916,0.257009,63,45,10,0,0,1,1,96,124,0,0,45,bac8138c,0
51,11,35,4,0,2150000051,0,0,1,527,1,55,0,11,1776,0,STEADY,176,2.88945,8.63531,0.68017,0.329545,0,0,0,7,3,0,1,0,101,62,0,0,0,bac8138c,0
51,11,35,4,0,2150000051,1,0,1,1489,1,117,0,19,2748,0,STEADY,497,2.3491,10.0416,0.852225,0.138833,0.0160966,0,0,14,1,0,4,0,101,22,22,28,0,bac8138c,0
52,12,36,5,0,2150000052,0,1,1,996,1,36,0,11,1808,0,STEADY,332,3.04319,8.53245,0.789545,0.063253,0.0813253,5,1,7,1,0,1,2,93,75,0,0,0,bac8138c,0
52,12,36,5,0,2150000052,1,1,1,682,1,74,0,11,1595,0,STEADY,228,3.35915,3.23039,0.673211,0.0964912,0.166667,0,0,9,0,0,2,0,93,37,0,0,160,bac8138c,0
53,13,37,0,0,2150000053,0,2,0,621,1,0,150,13,2300,0,STEADY,207,5.00113,5.47314,0.29258,0.400966,0.371981,39,15,8,2,0,0,3,0,104,0,0,0,bac8138c,0
