case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow,personality,decisions,distance,objective_distance,mean_energy,stationary_fraction,retreat_fraction,low_hp_decisions,low_hp_retreats,casts_1,casts_2,casts_3,casts_4,casts_5,damage,damage_taken,healed,shielded,control,model_checksum,opponent_checksum
21,21,38,3,0,2160000021,0,1,1,884,1,86,0,12,2099,0,STEADY,295,3.27625,6.28562,0.241681,0.0101695,0.0677966,0,0,5,4,1,0,2,104,38,0,0,9,e617ab48,0
21,21,38,3,0,2160000021,1,1,1,1061,1,96,0,15,2592,0,STEADY,354,3.71899,6.62898,0.178274,0.00847458,0.110169,0,0,9,3,1,0,2,104,28,0,0,44,e617ab48,0
22,22,39,4,0,2160000022,0,2,1,2008,1,34,0,25,5736,0,STEADY,670,2.66976,3.16494,0.149637,0.128358,0.129851,247,27,8,5,7,0,5,114,141,0,9,99,e617ab48,0
22,22,39,4,0,2160000022,1,2,1,1576,1,160,0,22,5195,0,STEADY,526,3.05085,4.1776,0.160302,0.153992,0.0361217,0,0,2,8,7,0,5,114,15,0,10,22,e617ab48,0
23,23,0,5,0,2160000023,0,3,0,517,1,0,36,12,1740,0,STEADY,173,3.76204,2.7824,0.485561,0.202312,0.0982659,43,13,6,6,0,0,0,69,116,11,0,109,e617ab48,0
23,23,0,5,0,2160000023,1,3,0,550,1,0,25,12,1844,0,STEADY,184,2.92453,2.53575,0.307049,0.125,0.179348,37,14,6,4,1,0,1,88,119,14,0,103,e617ab48,0
24,24,1,0,0,2160000024,0,0,0,1234,1,0,68,18,2833,0,STEADY,412,2.98309,2.5187,0.156816,0.223301,0.381068,101,42,13,2,1,1,1,68,125,0,11,270,e617ab48,0
24,24,1,0,0,2160000024,1,0,0,949,1,0,50,17,2726,0,STEADY,317,3.29217,2.14126,0.2253,0.438486,0.290221,121,40,11,3,1,1,1,86,125,0,17,98,e617ab48,0
25,25,2,1,0,2160000025,0,1,0,231,1,0,33,5,930,0,STEADY,77,5.11989,2.29532,0.678805,0.207792,0.0779221,15,6,0,3,1,1,0,61,104,0,24,121,e617ab48,0
25,25,2,1,0,2160000025,1,1,0,910,1,0,66,18,2882,0,STEADY,304,3.32534,1.62702,0.208059,0.361842,0.263158,204,67,5,11,1,0,1,28,104,0,24,109,e617ab48,0
