a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,2,6010,1,3,0,1,0,1080,1,17,0,213,224,0
2,0,6010,1,3,1,0,0,967,1,33,0,135,226,0
0,2,6011,2,3,0,1,0,1160,1,44,0,275,276,0
2,0,6011,2,3,1,0,1,1509,1,0,30,244,198,0
0,2,6012,0,4,0,1,1,586,1,0,52,192,207,0
2,0,6012,0,4,1,0,1,915,1,0,8,192,182,0
0,2,6013,1,4,0,1,1,405,1,0,62,152,0,0
2,0,6013,1,4,1,0,1,775,1,0,34,0,370,0
0,2,6014,2,4,0,1,1,329,1,0,58,188,0,0
2,0,6014,2,4,1,0,0,731,1,30,0,202,126,0
0,2,6015,0,5,0,1,1,1447,1,0,6,424,366,0
2,0,6015,0,5,1,0,1,957,1,0,46,263,255,0
0,2,6016,1,5,0,1,0,710,1,38,0,0,0,0
2,0,6016,1,5,1,0,0,610,1,69,0,0,42,0
0,2,6017,2,5,0,1,1,628,1,0,32,0,0,0
2,0,6017,2,5,1,0,0,640,1,32,0,0,0,0
0,2,6018,0,0,1,2,1,392,1,0,51,90,0,0
2,0,6018,0,0,2,1,0,618,1,49,0,77,91,0
0,2,6019,1,0,1,2,0,500,1,9,0,88,0,0
2,0,6019,1,0,2,1,0,559,1,53,0,60,119,0
0,2,6020,2,0,1,2,0,1142,1,42,0,173,123,0
2,0,6020,2,0,2,1,0,1135,1,13,0,72,121,0
0,2,6021,0,1,1,2,1,382,1,0,39,65,0,0
2,0,6021,0,1,2,1,0,500,1,23,0,42,68,0
0,2,6022,1,1,1,2,1,532,1,0,22,64,81,0
2,0,6022,1,1,2,1,0,984,1,12,0,92,93,0
0,2,6023,2,1,1,2,0,451,1,10,0,88,0,0
2,0,6023,2,1,2,1,0,307,1,91,0,0,0,0
0,2,6024,0,2,1,2,0,261,1,62,0,70,0,0
2,0,6024,0,2,2,1,1,261,1,0,62,0,70,0
0,2,6025,1,2,1,2,1,260,1,0,46,45,0,0
2,0,6025,1,2,2,1,0,255,1,86,0,0,6,0
0,2,6026,2,2,1,2,1,404,1,0,18,131,1,0
2,0,6026,2,2,2,1,0,214,1,90,0,0,0,0
0,2,6027,0,3,1,2,1,1334,1,0,82,237,231,0
2,0,6027,0,3,2,1,0,1334,1,82,0,231,237,0
0,2,6028,1,3,1,2,1,586,1,0,14,250,0,0
2,0,6028,1,3,2,1,1,738,1,0,67,69,122,0
0,2,6029,2,3,1,2,1,711,1,0,2,151,83,0
2,0,6029,2,3,2,1,0,1246,1,12,0,560,371,0
0,2,6030,0,4,1,2,0,570,1,23,0,381,11,0
2,0,6030,0,4,2,1,0,669,1,20,0,21,182,0
0,2,6031,1,4,1,2,1,533,1,0,38,207,0,0
2,0,6031,1,4,2,1,0,517,1,68,0,146,176,0
0,2,6032,2,4,1,2,1,364,1,0,47,254,0,0
2,0,6032,2,4,2,1,0,295,1,86,0,0,157,0
0,2,6033,0,5,1,2,0,817,1,47,0,79,0,0
2,0,6033,0,5,2,1,1,989,1,0,77,230,89,0
0,2,6034,1,5,1,2,0,1600,1,5,0,459,235,0
2,0,6034,1,5,2,1,1,1162,1,0,16,185,213,0
0,2,6035,2,5,1,2,0,1471,1,17,0,351,266,0
2,0,6035,2,5,2,1,0,2599,2,4,1,600,509,0
0,2,6036,0,0,2,3,0,894,1,7,0,87,413,0
2,0,6036,0,0,3,2,0,502,1,33,0,13,90,0
0,2,6037,1,0,2,3,0,525,1,7,0,88,0,0
2,0,6037,1,0,3,2,0,881,1,17,0,175,89,0
0,2,6038,2,0,2,3,0,664,1,80,0,98,68,0
2,0,6038,2,0,3,2,0,697,1,47,0,297,88,0
0,2,6039,0,1,2,3,1,814,1,0,27,37,208,0
2,0,6039,0,1,3,2,0,814,1,27,0,208,37,0
0,2,6040,1,1,2,3,1,319,1,0,13,90,0,0
2,0,6040,1,1,3,2,0,262,1,78,0,59,0,0
0,2,6041,2,1,2,3,1,264,1,0,49,0,13,0
2,0,6041,2,1,3,2,0,301,1,70,0,0,38,0
0,2,6042,0,2,2,3,0,305,1,21,0,33,0,0
2,0,6042,0,2,3,2,1,305,1,0,13,0,33,0
0,2,6043,1,2,2,3,1,989,1,0,29,70,147,0
2,0,6043,1,2,3,2,0,255,1,82,0,0,42,0
0,2,6044,2,2,2,3,1,656,1,0,18,45,152,0
2,0,6044,2,2,3,2,0,211,1,94,0,0,0,0
0,2,6045,0,3,2,3,0,1122,1,31,0,227,254,0
2,0,6045,0,3,3,2,1,1122,1,0,31,254,227,0
0,2,6046,1,3,2,3,1,1104,1,0,9,248,449,0
2,0,6046,1,3,3,2,1,1025,1,0,36,335,239,0
0,2,6047,2,3,2,3,1,1008,1,0,13,220,428,0
