a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
3,0,2008,2,2,1,0,0,565,1,28,0,20,24,0
0,3,2009,0,0,1,2,0,562,1,2,0,0,39,0
3,0,2009,0,0,2,1,1,562,1,0,2,39,0,0
0,3,2010,1,0,1,2,0,601,1,13,0,49,0,0
3,0,2010,1,0,2,1,0,569,1,8,0,60,0,0
0,3,2011,2,0,1,2,1,634,1,0,21,191,17,0
3,0,2011,2,0,2,1,0,657,1,18,0,41,0,0
0,3,2012,0,1,1,2,1,638,1,0,15,66,46,0
3,0,2012,0,1,2,1,0,638,1,15,0,46,66,0
0,3,2013,1,1,1,2,0,574,1,12,0,7,0,0
3,0,2013,1,1,2,1,1,661,1,0,15,40,0,0
0,3,2014,2,1,1,2,0,592,1,17,0,19,55,0
3,0,2014,2,1,2,1,0,654,1,8,0,0,0,0
0,3,2015,0,2,1,2,0,523,1,3,0,7,0,0
3,0,2015,0,2,2,1,1,510,1,0,24,15,34,0
0,3,2016,1,2,1,2,0,478,1,32,0,23,0,0
3,0,2016,1,2,2,1,1,571,1,0,17,74,12,0
0,3,2017,2,2,1,2,0,673,1,12,0,36,22,0
3,0,2017,2,2,2,1,0,531,1,66,0,49,33,0
0,3,2018,0,0,2,3,1,609,1,0,38,65,23,0
3,0,2018,0,0,3,2,0,609,1,38,0,23,65,0
0,3,2019,1,0,2,3,1,658,1,0,34,46,73,0
3,0,2019,1,0,3,2,0,436,1,39,0,22,34,0
0,3,2020,2,0,2,3,1,741,1,0,9,14,38,0
3,0,2020,2,0,3,2,1,1036,1,0,53,107,111,0
0,3,2021,0,1,2,3,0,694,1,24,0,0,81,0
3,0,2021,0,1,3,2,1,694,1,0,24,81,0,0
0,3,2022,1,1,2,3,0,703,1,4,0,14,85,0
3,0,2022,1,1,3,2,1,663,1,0,26,183,7,0
0,3,2023,2,1,2,3,1,808,1,0,46,140,52,0
3,0,2023,2,1,3,2,-1,630,1,0,0,228,57,0
0,3,2024,0,2,2,3,0,594,1,12,0,0,92,0
3,0,2024,0,2,3,2,1,533,1,0,49,0,67,0
0,3,2025,1,2,2,3,1,564,1,0,9,71,47,0
3,0,2025,1,2,3,2,1,544,1,0,16,48,15,0
0,3,2026,2,2,2,3,0,490,1,53,0,69,60,0
3,0,2026,2,2,3,2,0,509,1,56,0,36,0,0
0,3,2027,0,0,3,0,0,730,1,27,0,104,14,0
3,0,2027,0,0,0,3,1,730,1,0,27,14,104,0
0,3,2028,1,0,3,0,0,424,1,54,0,24,3,0
3,0,2028,1,0,0,3,0,642,1,1,0,0,97,0
0,3,2029,2,0,3,0,1,298,1,0,19,19,0,0
3,0,2029,2,0,0,3,1,420,1,0,5,6,43,0
0,3,2030,0,1,3,0,0,746,1,24,0,117,24,0
3,0,2030,0,1,0,3,1,746,1,0,24,24,117,0
0,3,2031,1,1,3,0,0,649,1,46,0,130,49,0
3,0,2031,1,1,0,3,1,517,1,0,73,189,26,0
0,3,2032,2,1,3,0,1,1044,1,0,12,377,48,0
3,0,2032,2,1,0,3,1,526,1,0,21,8,39,0
0,3,2033,0,2,3,0,1,593,1,0,13,20,0,0
3,0,2033,0,2,0,3,1,589,1,0,20,26,39,0
0,3,2034,1,2,3,0,0,600,1,9,0,38,28,0
3,0,2034,1,2,0,3,1,542,1,0,9,33,0,0
0,3,2035,2,2,3,0,0,449,1,4,0,40,0,0
3,0,2035,2,2,0,3,0,544,1,30,0,63,25,0
0,4,2000,0,0,0,1,0,849,1,18,0,66,83,0
4,0,2000,0,0,1,0,1,849,1,0,18,83,66,0
0,4,2001,1,0,0,1,1,601,1,0,27,56,51,0
4,0,2001,1,0,1,0,1,524,1,0,13,85,67,0
0,4,2002,2,0,0,1,0,547,1,10,0,35,57,0
4,0,2002,2,0,1,0,1,667,1,0,33,356,32,0
0,4,2003,0,1,0,1,0,1140,1,10,0,55,269,0
4,0,2003,0,1,1,0,1,1140,1,0,10,269,55,0
0,4,2004,1,1,0,1,0,799,2,44,114,600,0,0
4,0,2004,1,1,1,0,1,630,1,0,60,112,85,0
0,4,2005,2,1,0,1,0,806,2,14,112,600,0,0
4,0,2005,2,1,1,0,0,670,1,18,0,108,0,0
0,4,2006,0,2,0,1,0,480,1,43,0,35,50,0
4,0,2006,0,2,1,0,1,420,1,0,34,0,0,0
0,4,2007,1,2,0,1,0,462,1,51,0,0,0,0
4,0,2007,1,2,1,0,1,411,1,0,74,83,7,0
0,4,2008,2,2,0,1,0,484,1,76,0,31,117,0
4,0,2008,2,2,1,0,1,508,1,0,7,153,0,0
0,4,2009,0,0,1,2,1,1488,1,0,31,0,513,0
4,0,2009,0,0,2,1,0,1488,1,31,0,513,0,0
0,4,2010,1,0,1,2,0,583,1,29,0,76,0,0
4,0,2010,1,0,2,1,0,630,1,45,0,72,136,0
0,4,2011,2,0,1,2,0,438,1,67,0,62,0,0
4,0,2011,2,0,2,1,0,688,1,69,0,176,75,0
0,4,2012,0,1,1,2,1,630,1,0,20,0,0,0
4,0,2012,0,1,2,1,0,630,1,20,0,0,0,0
0,4,2013,1,1,1,2,1,1020,1,0,104,201,22,0
