a,b,seed,weather,arena,style_a,style_b,winner,ticks,reason,hp_a,hp_b,control_a,control_b,overflow
0,4,1033,0,2,3,0,1,450,1,0,87,67,27,0
4,0,1033,0,2,0,3,0,450,1,87,0,27,67,0
0,4,1034,1,2,3,0,0,630,1,40,0,97,0,0
4,0,1034,1,2,0,3,1,540,1,0,10,0,89,0
0,4,1035,2,2,3,0,1,510,1,0,87,79,13,0
4,0,1035,2,2,0,3,1,704,1,0,51,76,174,0
0,5,1000,0,0,0,1,0,1020,1,37,0,0,25,0
5,0,1000,0,0,1,0,1,1020,1,0,37,25,0,0
0,5,1001,1,0,0,1,0,893,1,43,0,0,1,0
5,0,1001,1,0,1,0,1,931,1,0,37,1,0,0
0,5,1002,2,0,0,1,1,658,1,0,55,0,1,0
5,0,1002,2,0,1,0,0,658,1,52,0,1,0,0
0,5,1003,0,1,0,1,0,572,1,93,0,0,0,0
5,0,1003,0,1,1,0,1,572,1,0,93,0,0,0
0,5,1004,1,1,0,1,0,778,1,63,0,0,3,0
5,0,1004,1,1,1,0,1,932,1,0,4,5,0,0
0,5,1005,2,1,0,1,0,1044,1,26,0,7,6,0
5,0,1005,2,1,1,0,0,925,1,13,0,1,5,0
0,5,1006,0,2,0,1,1,703,1,0,20,0,1,0
5,0,1006,0,2,1,0,0,703,1,20,0,1,0,0
0,5,1007,1,2,0,1,1,835,1,0,46,6,4,0
5,0,1007,1,2,1,0,0,835,1,16,0,4,6,0
0,5,1008,2,2,0,1,1,760,1,0,79,0,1,0
5,0,1008,2,2,1,0,1,1207,1,0,6,1,0,0
0,5,1009,0,0,1,2,1,1228,1,0,22,7,9,0
5,0,1009,0,0,2,1,0,1228,1,22,0,9,7,0
0,5,1010,1,0,1,2,1,1060,1,0,63,0,0,0
5,0,1010,1,0,2,1,0,879,1,95,0,0,0,0
0,5,1011,2,0,1,2,1,998,1,0,58,0,0,0
5,0,1011,2,0,2,1,0,998,1,44,0,0,0,0
0,5,1012,0,1,1,2,1,1100,1,0,42,9,0,0
5,0,1012,0,1,2,1,0,1100,1,42,0,0,9,0
0,5,1013,1,1,1,2,1,1500,1,0,19,38,18,0
5,0,1013,1,1,2,1,0,1117,1,14,0,1,17,0
0,5,1014,2,1,1,2,1,1248,1,0,24,9,6,0
5,0,1014,2,1,2,1,0,1072,1,37,0,0,9,0
0,5,1015,0,2,1,2,1,1273,1,0,80,14,12,0
5,0,1015,0,2,2,1,0,1273,1,80,0,12,14,0
0,5,1016,1,2,1,2,1,1436,1,0,13,0,8,0
5,0,1016,1,2,2,1,0,1355,1,2,0,8,0,0
0,5,1017,2,2,1,2,1,844,1,0,40,0,17,0
5,0,1017,2,2,2,1,0,1307,1,39,0,24,0,0
0,5,1018,0,0,2,3,1,964,1,0,42,4,84,0
5,0,1018,0,0,3,2,0,964,1,42,0,84,4,0
0,5,1019,1,0,2,3,0,718,1,39,0,0,82,0
5,0,1019,1,0,3,2,0,1239,1,3,0,84,11,0
0,5,1020,2,0,2,3,1,1006,1,0,48,2,65,0
5,0,1020,2,0,3,2,0,1173,1,69,0,54,13,0
0,5,1021,0,1,2,3,1,909,1,0,24,0,68,0
5,0,1021,0,1,3,2,0,909,1,24,0,68,0,0
0,5,1022,1,1,2,3,1,932,1,0,33,4,89,0
5,0,1022,1,1,3,2,0,1078,1,24,0,89,4,0
0,5,1023,2,1,2,3,1,658,1,0,4,12,90,0
5,0,1023,2,1,3,2,0,801,1,74,0,87,15,0
0,5,1024,0,2,2,3,0,892,1,9,0,4,66,0
5,0,1024,0,2,3,2,1,892,1,0,9,66,4,0
0,5,1025,1,2,2,3,0,1325,1,56,0,0,62,0
5,0,1025,1,2,3,2,1,901,1,0,13,81,13,0
0,5,1026,2,2,2,3,1,826,1,0,55,0,80,0
5,0,1026,2,2,3,2,0,1081,1,57,0,58,0,0
0,5,1027,0,0,3,0,0,986,1,46,0,83,0,0
5,0,1027,0,0,0,3,1,986,1,0,46,0,83,0
0,5,1028,1,0,3,0,0,890,1,26,0,69,0,0
5,0,1028,1,0,0,3,0,874,1,21,0,0,65,0
0,5,1029,2,0,3,0,1,796,1,0,9,42,0,0
5,0,1029,2,0,0,3,1,621,1,0,36,0,13,0
0,5,1030,0,1,3,0,1,748,1,0,31,71,0,0
5,0,1030,0,1,0,3,0,748,1,31,0,0,71,0
0,5,1031,1,1,3,0,1,772,1,0,28,66,0,0
5,0,1031,1,1,0,3,0,771,1,12,0,0,66,0
0,5,1032,2,1,3,0,1,799,1,0,19,87,0,0
5,0,1032,2,1,0,3,0,872,1,2,0,0,85,0
0,5,1033,0,2,3,0,0,796,1,29,0,73,0,0
5,0,1033,0,2,0,3,1,796,1,0,29,0,73,0
0,5,1034,1,2,3,0,1,984,1,0,48,71,0,0
5,0,1034,1,2,0,3,0,984,1,64,0,0,71,0
