case,species,opponent,arena,weather,seed,seat,style,score,ticks,reason,own_hp,enemy_hp,casts,energy_spent,overflow
60,20,4,1,1,1900000060,0,1,0,1225,1,0,123,24,4300,0
60,20,4,1,1,1900000060,1,1,0,1171,1,0,123,23,4130,0
61,21,5,2,2,1900000061,0,2,0,1423,1,0,141,32,4360,0
61,21,5,2,2,1900000061,1,2,0,2700,3,14,123,58,7480,0
62,22,6,3,0,1900000062,0,3,0,1573,1,0,131,30,6240,0
62,22,6,3,0,1900000062,1,3,0,1328,1,0,131,25,5310,0
63,23,7,4,1,1900000063,0,0,0,337,1,0,100,9,1620,0
63,23,7,4,1,1900000063,1,0,0,769,1,0,100,18,2700,0
64,24,8,5,2,1900000064,0,1,0,921,2,125,116,21,3080,0
64,24,8,5,2,1900000064,1,1,0,918,2,125,116,21,3080,0
65,25,9,0,0,1900000065,0,2,0,2700,3,42,149,58,7420,0
65,25,9,0,0,1900000065,1,2,0,2700,3,27,149,58,7420,0
66,26,10,1,1,1900000066,0,3,0,693,2,41,124,14,2320,0
66,26,10,1,1,1900000066,1,3,0,669,1,0,124,13,2250,0
67,27,11,2,2,1900000067,0,0,0,2065,1,0,117,38,6700,0
67,27,11,2,2,1900000067,1,0,0,1835,1,0,112,34,6020,0
68,28,12,3,0,1900000068,0,1,0,477,1,0,111,10,2040,0
68,28,12,3,0,1900000068,1,1,0,475,1,0,111,10,2040,0
69,29,13,4,1,1900000069,0,2,0,683,1,0,104,15,2440,0
69,29,13,4,1,1900000069,1,2,0,574,1,0,104,14,2240,0
70,30,14,5,2,1900000070,0,3,0,1041,2,125,113,27,3210,0
70,30,14,5,2,1900000070,1,3,0,829,2,125,113,17,2630,0
71,31,15,0,0,1900000071,0,0,0,690,1,0,118,15,2420,0
71,31,15,0,0,1900000071,1,0,0,691,1,0,118,15,2470,0
72,32,16,1,1,1900000072,0,1,0,751,1,0,115,15,2940,0
72,32,16,1,1,1900000072,1,1,0,1044,1,0,115,20,3790,0
73,33,17,2,2,1900000073,0,2,0,1054,1,0,114,22,3600,0
73,33,17,2,2,1900000073,1,2,0,713,2,152,120,15,2760,0
74,34,18,3,0,1900000074,0,3,0,752,2,140,129,18,2560,0
74,34,18,3,0,1900000074,1,3,0,752,2,140,129,18,2560,0
75,35,19,4,1,1900000075,0,0,0,677,1,0,132,16,2390,0
75,35,19,4,1,1900000075,1,0,0,506,1,0,132,13,1980,0
76,36,20,5,2,1900000076,0,1,0,1042,1,0,102,21,3770,0
76,36,20,5,2,1900000076,1,1,0,1891,1,0,94,34,6010,0
77,37,21,0,0,1900000077,0,2,0,791,1,0,120,15,3000,0
77,37,21,0,0,1900000077,1,2,0,792,1,0,122,15,3000,0
78,38,22,1,1,1900000078,0,3,0,934,1,0,175,19,3450,0
78,38,22,1,1,1900000078,1,3,0,709,1,0,161,15,2770,0
79,39,23,2,2,1900000079,0,0,0,2185,2,47,105,47,6200,0
79,39,23,2,2,1900000079,1,0,0,659,2,75,105,14,2440,0
80,0,31,4,1,1900000080,0,2,0,759,2,113,132,18,2570,0
80,0,31,4,1,1900000080,1,2,0,437,1,0,124,12,1850,0
81,1,32,5,2,1900000081,0,3,0,959,2,118,121,23,3090,0
81,1,32,5,2,1900000081,1,3,0,1041,2,135,121,25,3330,0
82,2,33,0,0,1900000082,0,0,0,1741,1,0,96,31,5700,0
82,2,33,0,0,1900000082,1,0,0,1573,1,0,129,29,5360,0
83,3,34,1,1,1900000083,0,1,0,1024,1,0,140,20,3630,0
83,3,34,1,1,1900000083,1,1,0,510,1,0,140,11,2100,0
84,4,35,2,2,1900000084,0,2,0,2064,1,0,101,49,6440,0
84,4,35,2,2,1900000084,1,2,0,1943,1,0,101,46,6080,0
85,5,36,3,0,1900000085,0,3,0,746,2,75,93,17,2720,0
85,5,36,3,0,1900000085,1,3,0,746,2,75,93,15,2720,0
86,6,37,4,1,1900000086,0,0,0,1103,1,0,150,22,4000,0
86,6,37,4,1,1900000086,1,0,0,2170,1,0,150,40,7060,0
87,7,38,5,2,1900000087,0,1,0,868,1,0,104,20,2870,0
87,7,38,5,2,1900000087,1,1,0,891,1,0,104,21,2990,0
88,8,39,0,0,1900000088,0,2,0,2700,3,60,114,59,7490,0
88,8,39,0,0,1900000088,1,2,0,2700,3,60,114,59,7490,0
89,9,0,1,1,1900000089,0,3,0,877,2,71,109,20,2950,0
89,9,0,1,1,1900000089,1,3,0,990,1,0,109,23,3310,0
90,10,1,2,2,1900000090,0,0,0,808,1,0,136,16,2990,0
90,10,1,2,2,1900000090,1,0,0,1017,1,0,136,20,3670,0
91,11,2,3,0,1900000091,0,1,0,616,1,0,94,15,2360,0
91,11,2,3,0,1900000091,1,1,0,415,1,0,94,11,1880,0
92,12,3,4,1,1900000092,0,2,0,731,1,0,106,17,2550,0
92,12,3,4,1,1900000092,1,2,0,666,1,0,106,16,2430,0
93,13,4,5,2,1900000093,0,3,0,2626,1,0,123,48,8420,0
93,13,4,5,2,1900000093,1,3,0,2596,1,0,123,47,8250,0
94,14,5,0,0,1900000094,0,0,0,2519,1,0,126,55,7000,0
94,14,5,0,0,1900000094,1,0,0,1887,2,46,141,42,5520,0
95,15,6,1,1,1900000095,0,1,0,583,1,0,131,15,2130,0
95,15,6,1,1,1900000095,1,1,0,469,1,0,131,13,1890,0
96,16,7,2,2,1900000096,0,2,0,451,1,0,100,9,2040,0
96,16,7,2,2,1900000096,1,2,0,223,1,0,100,5,1360,0
97,17,8,3,0,1900000097,0,3,0,775,2,36,116,18,2360,0
97,17,8,3,0,1900000097,1,3,0,777,2,59,116,20,2400,0
98,18,9,4,1,1900000098,0,0,0,2029,1,0,149,34,5070,0
